"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
08/01/2008,17:00,192.47,197.01,190.51,193.51,265105,-3.443605,-2.491790,-0.951815,41.41,18.08,15.13,194.0400,202.4436,0.5300,8.9336,0,7,1
08/04/2008,17:00,194.39,194.76,187.91,189.82,285565,-3.665291,-2.726491,-0.938800,37.36,13.82,15.43,192.9990,202.2064,3.1790,12.3864,0,8,1
08/05/2008,17:00,189.41,189.64,186.41,187.58,310869,-3.975896,-2.976372,-0.999524,35.11,11.65,14.51,192.0740,201.9912,4.4940,14.4112,0,9,1
08/06/2008,17:00,187.16,188.90,185.52,186.99,285866,-4.221004,-3.225298,-0.995706,34.52,8.20,11.22,191.4880,201.7206,4.4980,14.7306,0,10,1
08/07/2008,17:00,187.21,190.19,186.32,188.43,293114,-4.250065,-3.430251,-0.819814,37.29,10.90,10.25,190.9410,201.5670,2.5110,13.1370,0,11,1
08/08/2008,17:00,188.31,188.49,183.03,183.61,284840,-4.608902,-3.665982,-0.942920,32.36,9.95,9.68,190.1350,201.3024,6.5250,17.6924,0,12,1
08/11/2008,17:00,183.61,185.31,181.13,182.86,279774,-4.897348,-3.912255,-0.985093,31.66,10.43,10.43,189.1070,201.0146,6.2470,18.1546,0,13,1
08/12/2008,17:00,182.94,184.36,180.72,181.42,288480,-5.182400,-4.166284,-1.016116,30.30,5.95,8.78,188.1890,200.7670,6.7690,19.3470,0,14,1
08/13/2008,17:00,181.50,185.87,181.28,184.41,301282,-5.108154,-4.354658,-0.753496,36.40,12.60,9.66,187.1120,200.6194,2.7020,16.2094,0,15,1
08/14/2008,17:00,184.80,185.83,181.00,183.42,245006,-5.070746,-4.497875,-0.572870,35.30,14.51,11.02,186.2050,200.3422,2.7850,16.9222,0,16,1
08/15/2008,17:00,183.24,183.61,179.75,182.18,249392,-5.082568,-4.614814,-0.467754,33.92,17.70,14.94,185.0720,199.8252,2.8920,17.6452,0,17,1
08/18/2008,17:00,182.35,183.76,180.41,181.28,167035,-5.105705,-4.712992,-0.392713,32.91,13.11,15.10,184.2180,199.3740,2.9380,18.0940,0,18,1
08/19/2008,17:00,181.59,185.09,180.05,182.93,228055,-4.934023,-4.757198,-0.176825,36.63,13.79,14.86,183.7530,199.0166,0.8230,16.0866,0,19,1
08/20/2008,17:00,183.63,185.39,180.99,183.95,267642,-4.661919,-4.738143,0.076223,38.88,17.21,14.70,183.4490,198.5782,0.5010,14.6282,0,20,1
08/21/2008,17:00,184.25,190.43,183.79,189.57,292530,-3.947286,-4.579971,0.632685,49.54,34.73,21.91,183.5630,198.2450,6.0070,8.6750,0,21,1
08/22/2008,17:00,189.94,190.25,182.57,182.98,268249,-3.868103,-4.437598,0.569495,40.60,40.16,30.70,183.5000,197.8176,0.5200,14.8376,0,22,1
08/25/2008,17:00,183.08,184.45,182.07,183.50,167064,-3.720502,-4.294179,0.573676,41.50,46.19,40.36,183.5640,197.4056,0.0640,13.9056,0,23,1
08/26/2008,17:00,183.89,186.28,180.75,184.66,301721,-3.469926,-4.129328,0.659402,43.55,37.11,41.15,183.8880,197.0288,0.7720,12.3688,0,24,1
08/27/2008,17:00,184.43,188.02,184.03,186.54,257294,-3.084091,-3.920281,0.836189,46.80,48.22,43.84,184.1010,196.6362,2.4390,10.0962,0,25,1
08/28/2008,17:00,186.55,188.89,182.47,183.98,267036,-2.950869,-3.726398,0.775529,43.15,49.72,45.02,184.1570,196.2838,0.1770,12.3038,0,26,1
08/29/2008,17:00,184.14,187.15,183.39,183.85,58469,-2.823235,-3.545766,0.722531,42.97,47.19,48.38,184.3240,195.8736,0.4740,12.0236,0,27,1
09/02/2008,17:00,179.63,179.89,173.85,178.10,379579,-3.149753,-3.466563,0.316811,35.75,33.16,43.36,184.0060,195.3208,5.9060,17.2208,0,28,1
09/03/2008,17:00,178.63,178.69,175.61,177.74,240798,-3.398395,-3.452929,0.054535,35.35,27.92,36.09,183.4870,194.7556,5.7470,17.0156,0,29,1
09/04/2008,17:00,177.79,178.99,174.91,176.28,253798,-3.670939,-3.496531,-0.174407,33.70,21.25,27.44,182.7200,194.2044,6.4400,17.9244,0,30,1
09/05/2008,17:00,175.87,176.49,173.52,174.62,239683,-3.975058,-3.592237,-0.382821,31.88,14.82,21.33,181.2250,193.5240,6.6050,18.9040,0,31,1
