,val,start,end
0,95.66,2002-02-11 03:00:00,2002-04-30 03:00:00
0,96.49727272727273,2002-02-14 00:00:00,2002-02-19 00:00:00
0,98.78285714285714,2002-03-07 00:00:00,2002-05-01 00:00:00
0,99.56666666666666,2002-03-18 00:00:00,2002-04-15 00:00:00
0,100.32333333333334,2002-03-22 04:00:00,2002-03-26 04:00:00
0,100.32333333333334,2002-03-27 08:00:00,2002-04-11 08:00:00
0,101.21499999999999,2002-04-04 17:00:00,2002-04-09 17:00:00
0,101.21499999999999,2002-04-17 21:00:00,2002-04-30 21:00:00
0,100.52384615384614,2002-05-06 07:00:00,2002-08-01 07:00:00
0,101.2915,2002-05-01 17:00:00,2002-05-05 17:00:00
0,101.2915,2002-05-06 20:00:00,2002-05-28 20:00:00
0,101.2915,2002-06-14 08:00:00,2002-08-01 08:00:00
0,102.15999999999998,2002-05-08 08:00:00,2002-05-21 08:00:00
0,102.15999999999998,2002-06-24 20:00:00,2002-06-25 20:00:00
0,102.15999999999998,2002-06-26 20:00:00,2002-07-08 20:00:00
0,102.15999999999998,2002-07-10 04:00:00,2002-08-01 04:00:00
0,102.84625,2002-05-08 20:00:00,2002-05-12 20:00:00
0,102.84625,2002-05-15 23:00:00,2002-05-16 23:00:00
0,102.84625,2002-07-15 21:00:00,2002-07-21 21:00:00
0,103.672,2002-05-13 22:00:00,2002-05-14 22:00:00
0,102.0025,2002-08-02 04:00:00,2002-10-30 04:00:00
0,103.50699999999999,2002-08-13 05:00:00,2002-10-30 05:00:00
0,104.46400000000001,2002-08-16 05:00:00,2002-10-27 05:00:00
0,105.4748,2002-08-20 00:00:00,2002-09-03 00:00:00
0,105.4748,2002-09-05 08:00:00,2002-10-21 08:00:00
0,106.20111111111112,2002-09-06 00:00:00,2002-09-13 00:00:00
0,106.20111111111112,2002-09-18 02:00:00,2002-10-08 02:00:00
0,106.20111111111112,2002-10-14 00:00:00,2002-10-17 00:00:00
0,106.9575,2002-09-23 08:00:00,2002-10-03 08:00:00
0,101.98153846153845,2002-11-05 17:00:00,2003-01-30 17:00:00
0,102.94833333333334,2002-10-30 22:00:00,2002-11-04 22:00:00
0,103.72999999999998,2002-11-20 03:00:00,2003-01-31 03:00:00
0,104.602,2002-12-03 00:00:00,2002-12-04 00:00:00
0,104.602,2002-12-06 03:00:00,2003-01-31 03:00:00
0,107.37333333333333,2002-12-17 08:00:00,2003-01-30 08:00:00
0,108.66916666666667,2002-12-23 09:00:00,2003-01-08 09:00:00
0,108.66916666666667,2003-01-08 16:00:00,2003-01-30 16:00:00
0,109.559,2002-12-23 23:00:00,2002-12-29 23:00:00
0,109.559,2003-01-02 06:00:00,2003-01-07 06:00:00
